,date,negatives,positives,ratio,negatives (t-1),positives (t-1),ratio (t-1),negatives (t-2),positives (t-2),ratio (t-2),negatives (t-3),positives (t-3),ratio (t-3),negatives (t-4),positives (t-4),ratio (t-4),negatives (t-5),positives (t-5),ratio (t-5),negatives (t-6),positives (t-6),ratio (t-6),negatives (t-7),positives (t-7),ratio (t-7),label
0,2019-05-04,17.0,15.0,0.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,2019-05-03,33.0,30.0,0.47619047619047616,31.0,29.0,0.48333333333333334,13.0,16.0,0.5517241379310345,13.0,13.0,0.5,12.0,10.0,0.45454545454545453,21.0,18.0,0.46153846153846156,18.0,24.0,0.5714285714285714,24.0,31.0,0.5636363636363636,0
2,2019-05-02,31.0,29.0,0.48333333333333334,13.0,16.0,0.5517241379310345,13.0,13.0,0.5,12.0,10.0,0.45454545454545453,21.0,18.0,0.46153846153846156,18.0,24.0,0.5714285714285714,24.0,31.0,0.5636363636363636,31.0,25.0,0.44642857142857145,1
3,2019-05-01,13.0,16.0,0.5517241379310345,13.0,13.0,0.5,12.0,10.0,0.45454545454545453,21.0,18.0,0.46153846153846156,18.0,24.0,0.5714285714285714,24.0,31.0,0.5636363636363636,31.0,25.0,0.44642857142857145,20.0,27.0,0.574468085106383,1
4,2019-04-30,13.0,13.0,0.5,12.0,10.0,0.45454545454545453,21.0,18.0,0.46153846153846156,18.0,24.0,0.5714285714285714,24.0,31.0,0.5636363636363636,31.0,25.0,0.44642857142857145,20.0,27.0,0.574468085106383,14.0,31.0,0.6888888888888889,1
5,2019-04-29,12.0,10.0,0.45454545454545453,21.0,18.0,0.46153846153846156,18.0,24.0,0.5714285714285714,24.0,31.0,0.5636363636363636,31.0,25.0,0.44642857142857145,20.0,27.0,0.574468085106383,14.0,31.0,0.6888888888888889,18.0,24.0,0.5714285714285714,1
6,2019-04-28,21.0,18.0,0.46153846153846156,18.0,24.0,0.5714285714285714,24.0,31.0,0.5636363636363636,31.0,25.0,0.44642857142857145,20.0,27.0,0.574468085106383,14.0,31.0,0.6888888888888889,18.0,24.0,0.5714285714285714,16.0,10.0,0.38461538461538464,1
7,2019-04-27,18.0,24.0,0.5714285714285714,24.0,31.0,0.5636363636363636,31.0,25.0,0.44642857142857145,20.0,27.0,0.574468085106383,14.0,31.0,0.6888888888888889,18.0,24.0,0.5714285714285714,16.0,10.0,0.38461538461538464,10.0,16.0,0.6153846153846154,0
8,2019-04-26,24.0,31.0,0.5636363636363636,31.0,25.0,0.44642857142857145,20.0,27.0,0.574468085106383,14.0,31.0,0.6888888888888889,18.0,24.0,0.5714285714285714,16.0,10.0,0.38461538461538464,10.0,16.0,0.6153846153846154,13.0,8.0,0.38095238095238093,1
9,2019-04-25,31.0,25.0,0.44642857142857145,20.0,27.0,0.574468085106383,14.0,31.0,0.6888888888888889,18.0,24.0,0.5714285714285714,16.0,10.0,0.38461538461538464,10.0,16.0,0.6153846153846154,13.0,8.0,0.38095238095238093,13.0,25.0,0.6578947368421053,0
10,2019-04-24,20.0,27.0,0.574468085106383,14.0,31.0,0.6888888888888889,18.0,24.0,0.5714285714285714,16.0,10.0,0.38461538461538464,10.0,16.0,0.6153846153846154,13.0,8.0,0.38095238095238093,13.0,25.0,0.6578947368421053,20.0,16.0,0.4444444444444444,1
