,date,negatives,positives,ratio,negatives (t-1),positives (t-1),ratio (t-1),negatives (t-2),positives (t-2),ratio (t-2),negatives (t-3),positives (t-3),ratio (t-3),negatives (t-4),positives (t-4),ratio (t-4),negatives (t-5),positives (t-5),ratio (t-5),negatives (t-6),positives (t-6),ratio (t-6),negatives (t-7),positives (t-7),ratio (t-7),label
0,2019-05-03,18.0,21.0,0.5384615384615384,32.0,17.0,0.3469387755102041,23.0,24.0,0.5106382978723404,13.0,14.0,0.5185185185185185,18.0,15.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,50.0,52.0,0.5098039215686274,1
1,2019-05-02,32.0,17.0,0.3469387755102041,23.0,24.0,0.5106382978723404,13.0,14.0,0.5185185185185185,18.0,15.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,50.0,52.0,0.5098039215686274,72.0,61.0,0.45864661654135336,1
2,2019-05-01,23.0,24.0,0.5106382978723404,13.0,14.0,0.5185185185185185,18.0,15.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,50.0,52.0,0.5098039215686274,72.0,61.0,0.45864661654135336,58.0,43.0,0.42574257425742573,0
3,2019-04-30,13.0,14.0,0.5185185185185185,18.0,15.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,50.0,52.0,0.5098039215686274,72.0,61.0,0.45864661654135336,58.0,43.0,0.42574257425742573,17.0,15.0,0.46875,0
4,2019-04-29,18.0,15.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,50.0,52.0,0.5098039215686274,72.0,61.0,0.45864661654135336,58.0,43.0,0.42574257425742573,17.0,15.0,0.46875,17.0,18.0,0.5142857142857142,1
5,2019-04-26,50.0,52.0,0.5098039215686274,72.0,61.0,0.45864661654135336,58.0,43.0,0.42574257425742573,17.0,15.0,0.46875,17.0,18.0,0.5142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,2019-04-25,72.0,61.0,0.45864661654135336,58.0,43.0,0.42574257425742573,17.0,15.0,0.46875,17.0,18.0,0.5142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.4,0
7,2019-04-24,58.0,43.0,0.42574257425742573,17.0,15.0,0.46875,17.0,18.0,0.5142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.4,4.0,3.0,0.42857142857142855,0
8,2019-04-23,17.0,15.0,0.46875,17.0,18.0,0.5142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.4,4.0,3.0,0.42857142857142855,9.0,11.0,0.55,1
9,2019-04-22,17.0,18.0,0.5142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.4,4.0,3.0,0.42857142857142855,9.0,11.0,0.55,16.0,7.0,0.30434782608695654,0
10,2019-04-18,9.0,6.0,0.4,4.0,3.0,0.42857142857142855,9.0,11.0,0.55,16.0,7.0,0.30434782608695654,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,0.5714285714285714,22.0,15.0,0.40540540540540543,1
11,2019-04-17,4.0,3.0,0.42857142857142855,9.0,11.0,0.55,16.0,7.0,0.30434782608695654,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,0.5714285714285714,22.0,15.0,0.40540540540540543,9.0,7.0,0.4375,0
12,2019-04-16,9.0,11.0,0.55,16.0,7.0,0.30434782608695654,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,0.5714285714285714,22.0,15.0,0.40540540540540543,9.0,7.0,0.4375,16.0,13.0,0.4482758620689655,1
13,2019-04-15,16.0,7.0,0.30434782608695654,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,0.5714285714285714,22.0,15.0,0.40540540540540543,9.0,7.0,0.4375,16.0,13.0,0.4482758620689655,8.0,4.0,0.3333333333333333,0
14,2019-04-12,9.0,12.0,0.5714285714285714,22.0,15.0,0.40540540540540543,9.0,7.0,0.4375,16.0,13.0,0.4482758620689655,8.0,4.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,13.0,20.0,0.6060606060606061,0
