,date,negatives,positives,ratio,negatives (t-1),positives (t-1),ratio (t-1),negatives (t-2),positives (t-2),ratio (t-2),negatives (t-3),positives (t-3),ratio (t-3),negatives (t-4),positives (t-4),ratio (t-4),negatives (t-5),positives (t-5),ratio (t-5),negatives (t-6),positives (t-6),ratio (t-6),negatives (t-7),positives (t-7),ratio (t-7),label
0,2019-05-03,7,8,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,2019-05-02,11,12,0.5217391304347826,7.0,8.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,2019-05-01,11,12,0.5217391304347826,11.0,12.0,0.5217391304347826,7.0,8.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,2019-04-30,5,3,0.375,11.0,12.0,0.5217391304347826,11.0,12.0,0.5217391304347826,7.0,8.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,2019-04-29,5,2,0.2857142857142857,5.0,3.0,0.375,11.0,12.0,0.5217391304347826,11.0,12.0,0.5217391304347826,7.0,8.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5,2019-04-26,14,9,0.391304347826087,5.0,2.0,0.2857142857142857,5.0,3.0,0.375,11.0,12.0,0.5217391304347826,11.0,12.0,0.5217391304347826,7.0,8.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1
6,2019-04-25,18,7,0.28,14.0,9.0,0.391304347826087,5.0,2.0,0.2857142857142857,5.0,3.0,0.375,11.0,12.0,0.5217391304347826,11.0,12.0,0.5217391304347826,7.0,8.0,0.5333333333333333,0.0,0.0,0.0,0
7,2019-04-24,7,5,0.4166666666666667,18.0,7.0,0.28,14.0,9.0,0.391304347826087,5.0,2.0,0.2857142857142857,5.0,3.0,0.375,11.0,12.0,0.5217391304347826,11.0,12.0,0.5217391304347826,7.0,8.0,0.5333333333333333,1
8,2019-04-23,14,7,0.3333333333333333,7.0,5.0,0.4166666666666667,18.0,7.0,0.28,14.0,9.0,0.391304347826087,5.0,2.0,0.2857142857142857,5.0,3.0,0.375,11.0,12.0,0.5217391304347826,11.0,12.0,0.5217391304347826,0
9,2019-04-22,6,5,0.45454545454545453,14.0,7.0,0.3333333333333333,7.0,5.0,0.4166666666666667,18.0,7.0,0.28,14.0,9.0,0.391304347826087,5.0,2.0,0.2857142857142857,5.0,3.0,0.375,11.0,12.0,0.5217391304347826,0
10,2019-04-18,8,14,0.6363636363636364,6.0,5.0,0.45454545454545453,14.0,7.0,0.3333333333333333,7.0,5.0,0.4166666666666667,18.0,7.0,0.28,14.0,9.0,0.391304347826087,5.0,2.0,0.2857142857142857,5.0,3.0,0.375,1
11,2019-04-17,8,5,0.38461538461538464,8.0,14.0,0.6363636363636364,6.0,5.0,0.45454545454545453,14.0,7.0,0.3333333333333333,7.0,5.0,0.4166666666666667,18.0,7.0,0.28,14.0,9.0,0.391304347826087,5.0,2.0,0.2857142857142857,1
12,2019-04-16,13,8,0.38095238095238093,8.0,5.0,0.38461538461538464,8.0,14.0,0.6363636363636364,6.0,5.0,0.45454545454545453,14.0,7.0,0.3333333333333333,7.0,5.0,0.4166666666666667,18.0,7.0,0.28,14.0,9.0,0.391304347826087,1
13,2019-04-15,9,7,0.4375,13.0,8.0,0.38095238095238093,8.0,5.0,0.38461538461538464,8.0,14.0,0.6363636363636364,6.0,5.0,0.45454545454545453,14.0,7.0,0.3333333333333333,7.0,5.0,0.4166666666666667,18.0,7.0,0.28,1
14,2019-04-12,13,9,0.4090909090909091,9.0,7.0,0.4375,13.0,8.0,0.38095238095238093,8.0,5.0,0.38461538461538464,8.0,14.0,0.6363636363636364,6.0,5.0,0.45454545454545453,14.0,7.0,0.3333333333333333,7.0,5.0,0.4166666666666667,1
15,2019-04-11,6,3,0.3333333333333333,13.0,9.0,0.4090909090909091,9.0,7.0,0.4375,13.0,8.0,0.38095238095238093,8.0,5.0,0.38461538461538464,8.0,14.0,0.6363636363636364,6.0,5.0,0.45454545454545453,14.0,7.0,0.3333333333333333,0
